~iteration~,alpha,beta,base
28955,2,50,0.5
29005,2,50,0.5
29046,2,50,0.5
29096,2,50,0.5
29146,2,50,0.5
29187,2,50,0.5
29237,2,50,0.5
29287,2,50,0.5
29328,2,50,0.5
29378,2,50,0.5
29428,2,50,0.5
29469,2,50,0.5
29519,2,50,0.5
29569,2,50,0.5
